2025-07-14 01:17:32.824 | INFO     | maas.ext.maas.scripts.optimizer:test:157 - maas/ext/maas/scripts/optimized/MATH/train/round_11/MATH_controller_sample4.pth
2025-07-14 01:17:52.070 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.082 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.082 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.083 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.083 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.084 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.085 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.085 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.086 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.086 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.087 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.087 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.088 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.088 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.089 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.089 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
2025-07-14 01:17:52.090 | INFO     | maas.ext.maas.benchmark.math:evaluate_problem:147 - Maximum retries reached. Skipping this sample. Error: forward() takes 5 positional arguments but 6 were given
